Time,T-i,H-i,T-e,H-e
11/27/21 03:20:31,87.4,28.2%,75.9,43.1%
11/27/21 03:20:46,87.4,28.1%,75.9,43.1%
11/27/21 03:21:01,87.4,28.1%,75.9,43.1%
11/27/21 03:21:15,87.4,28.0%,75.7,42.9%
11/27/21 03:21:30,87.4,28.0%,75.7,42.9%
11/27/21 03:21:45,87.4,28.0%,75.7,42.9%
11/27/21 03:22:00,87.4,27.9%,75.7,42.8%
11/27/21 03:22:15,87.4,27.9%,75.6,42.8%
11/27/21 03:22:35,87.4,27.9%,75.4,42.7%
11/27/21 03:22:46,87.4,27.8%,75.4,42.6%
11/27/21 03:22:57,87.4,27.8%,75.4,42.6%
11/27/21 03:23:08,87.4,27.7%,75.4,42.6%
11/27/21 03:23:19,87.4,27.7%,75.4,42.6%
11/27/21 03:23:31,87.4,27.7%,75.2,42.6%
11/27/21 03:23:47,87.4,27.6%,75.2,42.6%
11/27/21 03:23:58,87.4,27.6%,75.2,42.6%
11/27/21 03:24:09,87.4,27.6%,75.2,42.6%
11/27/21 03:24:20,87.4,27.6%,75.0,42.5%
11/27/21 03:24:36,87.4,27.6%,74.8,42.5%
11/27/21 03:24:47,87.4,27.5%,74.8,42.5%
11/27/21 03:25:01,87.4,27.5%,74.8,42.5%
11/27/21 03:25:14,87.4,27.5%,74.8,42.6%
11/27/21 03:25:25,87.4,27.5%,74.8,42.6%
11/27/21 03:25:36,87.4,27.4%,74.8,42.6%
11/27/21 03:25:47,87.4,27.4%,74.7,42.5%
11/27/21 03:25:59,87.4,27.4%,74.7,42.5%
11/27/21 03:26:10,87.4,27.4%,74.7,42.5%
11/27/21 03:26:21,87.4,27.4%,74.7,42.6%
11/27/21 03:26:32,87.4,27.3%,74.7,42.6%
11/27/21 03:26:43,87.4,27.3%,74.5,42.5%
11/27/21 03:26:58,87.4,27.3%,74.5,42.6%
11/27/21 03:27:20,87.4,27.3%,74.5,42.5%
11/27/21 03:27:35,87.4,27.3%,74.5,42.7%
11/27/21 03:27:53,87.3,27.2%,74.7,43.7%
11/27/21 03:28:04,87.3,27.2%,74.8,43.8%
11/27/21 03:28:15,87.3,27.3%,74.8,44.3%
11/27/21 03:28:28,87.3,27.5%,75.0,44.9%
11/27/21 03:28:39,87.3,27.5%,75.2,45.3%
11/27/21 03:28:53,87.3,27.6%,75.7,46.0%
11/27/21 03:29:08,87.3,27.8%,75.7,46.0%
11/27/21 03:29:23,87.3,28.0%,75.9,46.0%
11/27/21 03:29:38,87.3,28.0%,75.9,45.5%
11/27/21 03:29:55,87.3,28.0%,76.1,45.2%
11/27/21 03:30:10,87.3,28.0%,76.1,45.2%
11/27/21 03:30:25,87.3,28.0%,76.1,45.3%
11/27/21 03:30:43,87.3,28.1%,76.1,45.6%
11/27/21 03:30:58,87.3,28.1%,76.1,45.3%
11/27/21 03:31:13,87.3,28.1%,76.1,45.0%
11/27/21 03:31:28,87.3,28.1%,76.1,44.7%
11/27/21 03:31:43,87.3,28.2%,76.1,44.4%
11/27/21 03:32:00,87.3,28.1%,76.1,44.1%
11/27/21 03:32:15,87.3,28.1%,76.1,43.8%
11/27/21 03:32:35,87.3,28.1%,76.1,43.6%
11/27/21 03:32:50,87.3,28.1%,76.1,43.4%
11/27/21 03:33:05,87.4,28.1%,75.9,43.2%
11/27/21 03:33:20,87.3,28.0%,75.9,43.1%
11/27/21 03:33:35,87.3,28.0%,75.9,43.2%
11/27/21 03:33:51,87.3,28.0%,75.9,43.1%
11/27/21 03:34:06,87.3,28.0%,75.9,43.0%
11/27/21 03:34:21,87.4,28.0%,75.7,42.9%
11/27/21 03:34:36,87.4,28.0%,75.7,42.8%
11/27/21 03:34:53,87.4,27.9%,75.7,42.9%
11/27/21 03:35:08,87.4,27.9%,75.6,42.8%
11/27/21 03:35:23,87.4,27.8%,75.6,42.7%
11/27/21 03:35:38,87.4,27.8%,75.4,42.6%
11/27/21 03:35:49,87.4,27.7%,75.4,42.6%
11/27/21 03:36:01,87.4,27.7%,75.4,42.6%
11/27/21 03:36:12,87.4,27.7%,75.4,42.6%
11/27/21 03:36:23,87.4,27.7%,75.2,42.5%
11/27/21 03:36:34,87.4,27.6%,75.2,42.6%
11/27/21 03:36:45,87.4,27.6%,75.2,42.5%
11/27/21 03:36:58,87.4,27.6%,75.2,42.6%
11/27/21 03:37:09,87.4,27.6%,75.2,42.6%
11/27/21 03:37:21,87.4,27.6%,75.0,42.5%
11/27/21 03:37:32,87.4,27.5%,74.8,42.4%
11/27/21 03:37:45,87.4,27.5%,74.8,42.4%
11/27/21 03:37:59,87.4,27.5%,74.8,42.4%
11/27/21 03:38:10,87.4,27.4%,74.8,42.4%
11/27/21 03:38:21,87.4,27.4%,74.8,42.4%
11/27/21 03:38:32,87.4,27.4%,74.8,42.4%
11/27/21 03:38:43,87.4,27.4%,74.7,42.4%
11/27/21 03:38:54,87.4,27.4%,74.7,42.4%
11/27/21 03:39:05,87.4,27.3%,74.7,42.4%
11/27/21 03:39:16,87.3,27.3%,74.7,42.4%
11/27/21 03:39:27,87.3,27.3%,74.7,42.5%
11/27/21 03:39:38,87.3,27.2%,74.5,42.4%
11/27/21 03:39:53,87.3,27.2%,74.5,42.5%
11/27/21 03:40:11,87.3,27.2%,74.5,42.4%
11/27/21 03:40:26,87.3,27.2%,74.5,42.5%
11/27/21 03:40:43,87.3,27.2%,74.5,42.9%
11/27/21 03:40:58,87.3,27.2%,74.7,43.7%
11/27/21 03:41:09,87.3,27.2%,74.8,44.2%
11/27/21 03:41:20,87.3,27.3%,75.0,44.5%
11/27/21 03:41:32,87.3,27.4%,75.2,45.0%
11/27/21 03:41:43,87.3,27.6%,75.4,45.6%
11/27/21 03:41:54,87.3,27.7%,75.6,45.9%
11/27/21 03:42:09,87.3,27.8%,75.7,45.9%
11/27/21 03:42:24,87.3,28.0%,76.1,46.0%
11/27/21 03:42:39,87.3,28.0%,76.3,45.5%
11/27/21 03:42:54,87.3,28.0%,76.3,45.3%
11/27/21 03:43:09,87.3,28.0%,76.3,45.1%
11/27/21 03:43:24,87.3,28.0%,76.3,45.1%
11/27/21 03:43:39,87.3,28.1%,76.3,45.4%
11/27/21 03:43:54,87.3,28.1%,76.3,45.2%
11/27/21 03:44:09,87.3,28.1%,76.3,45.0%
11/27/21 03:44:24,87.3,28.1%,76.3,44.6%
11/27/21 03:44:39,87.3,28.1%,76.3,44.3%
11/27/21 03:44:54,87.3,28.1%,76.3,44.0%
11/27/21 03:45:09,87.3,28.1%,76.3,43.8%
11/27/21 03:45:24,87.3,28.1%,76.3,43.6%
11/27/21 03:45:42,87.3,28.1%,76.1,43.2%
11/27/21 03:45:57,87.3,28.1%,76.1,43.2%
11/27/21 03:46:12,87.4,28.1%,76.1,43.1%
11/27/21 03:46:27,87.4,28.0%,75.9,43.0%
11/27/21 03:46:42,87.3,28.0%,75.9,43.0%
11/27/21 03:46:57,87.4,28.0%,75.9,42.9%
11/27/21 03:47:12,87.4,28.0%,75.9,42.8%
11/27/21 03:47:30,87.4,27.9%,75.9,42.8%
11/27/21 03:47:47,87.4,27.8%,75.7,42.7%
11/27/21 03:48:03,87.4,27.8%,75.7,42.7%
11/27/21 03:48:17,87.4,27.8%,75.7,42.7%
11/27/21 03:48:33,87.4,27.7%,75.6,42.6%
11/27/21 03:48:49,87.4,27.7%,75.6,42.6%
11/27/21 03:49:04,87.4,27.7%,75.4,42.5%
11/27/21 03:49:15,87.4,27.6%,75.4,42.4%
11/27/21 03:49:26,87.4,27.6%,75.4,42.4%
11/27/21 03:49:37,87.4,27.6%,75.2,42.4%
11/27/21 03:49:48,87.4,27.5%,75.2,42.4%
11/27/21 03:49:59,87.4,27.5%,75.2,42.4%
11/27/21 03:50:10,87.4,27.5%,75.2,42.4%
11/27/21 03:50:21,87.4,27.5%,75.0,42.3%
11/27/21 03:50:32,87.4,27.4%,75.0,42.4%
11/27/21 03:50:44,87.4,27.4%,75.0,42.3%
11/27/21 03:50:55,87.4,27.4%,74.8,42.3%
11/27/21 03:51:06,87.4,27.3%,74.8,42.3%
11/27/21 03:51:17,87.4,27.3%,74.8,42.3%
11/27/21 03:51:28,87.4,27.3%,74.8,42.3%
11/27/21 03:51:39,87.4,27.3%,74.8,42.3%
11/27/21 03:51:50,87.4,27.3%,74.8,42.3%
11/27/21 03:52:04,87.4,27.3%,74.7,42.4%
11/27/21 03:52:15,87.4,27.3%,74.7,42.3%
11/27/21 03:52:26,87.4,27.2%,74.7,42.3%
11/27/21 03:52:37,87.4,27.2%,74.5,42.3%
11/27/21 03:52:53,87.4,27.2%,74.5,42.3%
11/27/21 03:53:08,87.4,27.2%,74.5,42.2%
11/27/21 03:53:23,87.4,27.1%,74.5,42.3%
11/27/21 03:53:38,87.4,27.1%,74.5,42.6%
11/27/21 03:53:55,87.3,27.0%,74.7,43.3%
11/27/21 03:54:06,87.4,27.2%,74.8,43.9%
11/27/21 03:54:17,87.3,27.2%,75.0,44.3%
11/27/21 03:54:28,87.3,27.3%,75.2,44.8%
11/27/21 03:54:39,87.3,27.4%,75.4,45.2%
11/27/21 03:54:50,87.3,27.5%,75.6,45.5%
11/27/21 03:55:05,87.3,27.7%,75.7,45.8%
11/27/21 03:55:20,87.3,27.8%,75.9,45.7%
11/27/21 03:55:35,87.3,27.9%,76.1,45.3%
11/27/21 03:55:51,87.3,27.9%,76.3,45.1%
11/27/21 03:56:06,87.3,27.9%,76.1,44.9%
11/27/21 03:56:26,87.3,27.9%,76.1,45.1%
11/27/21 03:56:44,87.4,28.0%,76.3,45.3%
11/27/21 03:56:59,87.3,28.0%,76.1,44.9%
11/27/21 03:57:15,87.4,28.0%,76.3,44.7%
11/27/21 03:57:32,87.3,28.0%,76.1,43.9%
11/27/21 03:57:48,87.4,28.0%,76.1,43.8%
11/27/21 03:58:03,87.4,28.0%,76.1,43.6%
11/27/21 03:58:18,87.4,28.0%,76.1,43.4%
11/27/21 03:58:38,87.4,28.0%,76.1,43.2%
11/27/21 03:58:53,87.4,28.0%,75.9,43.0%
11/27/21 03:59:13,87.4,27.9%,76.1,43.0%
11/27/21 03:59:31,87.4,27.9%,75.9,42.8%
11/27/21 03:59:48,87.4,27.8%,75.9,42.8%
11/27/21 04:00:03,87.4,27.8%,75.7,42.7%
11/27/21 04:00:21,87.4,27.8%,75.7,42.6%
11/27/21 04:00:36,87.4,27.7%,75.7,42.6%
11/27/21 04:00:52,87.4,27.7%,75.6,42.5%
11/27/21 04:01:07,87.4,27.7%,75.6,42.4%
11/27/21 04:01:22,87.4,27.6%,75.6,42.4%
11/27/21 04:01:37,87.4,27.6%,75.6,42.4%
11/27/21 04:01:52,87.4,27.5%,75.4,42.3%
11/27/21 04:02:03,87.4,27.5%,75.2,42.2%
11/27/21 04:02:14,87.4,27.5%,75.4,42.3%
11/27/21 04:02:25,87.4,27.5%,75.2,42.2%
11/27/21 04:02:36,87.4,27.4%,75.2,42.2%
11/27/21 04:02:47,87.4,27.4%,75.2,42.2%
11/27/21 04:02:58,87.4,27.4%,75.2,42.2%
11/27/21 04:03:09,87.4,27.3%,75.0,42.2%
11/27/21 04:03:21,87.4,27.3%,75.0,42.2%
11/27/21 04:03:34,87.4,27.3%,74.8,42.2%
11/27/21 04:03:45,87.4,27.3%,74.8,42.2%
11/27/21 04:03:56,87.4,27.3%,74.8,42.2%
11/27/21 04:04:07,87.4,27.2%,74.8,42.1%
11/27/21 04:04:18,87.4,27.2%,74.8,42.2%
11/27/21 04:04:32,87.4,27.2%,74.7,42.1%
11/27/21 04:04:43,87.4,27.2%,74.7,42.1%
11/27/21 04:04:54,87.4,27.2%,74.7,42.1%
11/27/21 04:05:05,87.4,27.1%,74.7,42.2%
11/27/21 04:05:19,87.4,27.1%,74.7,42.2%
11/27/21 04:05:30,87.4,27.1%,74.5,42.1%
11/27/21 04:05:45,87.4,27.1%,74.5,42.1%
11/27/21 04:06:00,87.4,27.0%,74.5,42.0%
11/27/21 04:06:15,87.3,26.9%,74.5,42.1%
11/27/21 04:06:30,87.4,27.0%,74.5,42.5%
11/27/21 04:06:45,87.4,27.0%,74.7,43.1%
11/27/21 04:06:56,87.4,27.0%,74.8,43.7%
11/27/21 04:07:07,87.3,27.1%,74.8,44.1%
11/27/21 04:07:21,87.3,27.2%,75.2,44.9%
11/27/21 04:07:32,87.3,27.3%,75.2,45.0%
11/27/21 04:07:43,87.3,27.4%,75.6,45.3%
11/27/21 04:07:58,87.3,27.6%,75.7,45.4%
11/27/21 04:08:13,87.3,27.8%,75.9,45.4%
11/27/21 04:08:27,87.3,27.8%,76.1,45.1%
11/27/21 04:08:42,87.3,27.8%,76.1,45.0%
11/27/21 04:09:00,87.3,27.8%,76.1,44.8%
11/27/21 04:09:15,87.3,27.8%,76.1,44.8%
11/27/21 04:09:32,87.3,27.8%,76.1,45.0%
11/27/21 04:09:47,87.3,27.9%,76.1,44.8%
11/27/21 04:10:02,87.3,27.9%,76.1,44.5%
11/27/21 04:10:17,87.4,28.0%,76.1,44.2%
11/27/21 04:10:32,87.3,27.9%,76.1,43.9%
11/27/21 04:10:47,87.4,28.0%,76.1,43.6%
11/27/21 04:11:05,87.4,27.9%,76.1,43.3%
11/27/21 04:11:20,87.4,27.9%,75.9,43.3%
11/27/21 04:11:35,87.4,27.9%,75.9,47.2%
11/27/21 04:11:49,87.4,28.1%,75.9,48.9%
11/27/21 04:12:04,87.4,28.3%,75.7,48.1%
11/27/21 04:12:19,87.4,28.5%,75.4,47.0%
11/27/21 04:12:30,87.4,28.6%,75.4,48.1%
11/27/21 04:12:44,87.4,28.5%,75.2,47.1%
11/27/21 04:12:55,87.4,28.6%,75.2,47.1%
11/27/21 04:13:06,87.4,28.6%,75.0,47.1%
11/27/21 04:13:17,87.4,28.6%,75.0,47.0%
11/27/21 04:13:28,87.4,28.6%,74.8,48.9%
11/27/21 04:13:39,87.4,28.6%,74.8,49.4%
11/27/21 04:13:50,87.4,28.6%,74.8,50.0%
11/27/21 04:14:01,87.4,28.6%,74.7,48.8%
11/27/21 04:14:15,87.4,28.7%,74.5,47.9%
11/27/21 04:14:30,87.4,28.6%,74.5,47.5%
11/27/21 04:14:46,87.4,28.8%,74.3,48.8%
11/27/21 04:15:01,87.4,28.9%,74.1,49.2%
11/27/21 04:15:17,87.3,29.1%,74.1,51.2%
11/27/21 04:15:32,87.3,29.4%,74.1,52.7%
11/27/21 04:15:47,87.3,29.8%,73.9,52.5%
11/27/21 04:16:02,87.1,29.9%,73.9,50.5%
11/27/21 04:16:17,87.1,29.7%,73.9,50.0%
11/27/21 04:16:32,87.1,29.6%,73.9,49.5%
11/27/21 04:16:47,87.1,29.6%,73.9,47.8%
11/27/21 04:17:02,87.1,29.3%,73.9,47.4%
11/27/21 04:17:17,87.1,29.2%,73.9,47.2%
11/27/21 04:17:32,86.9,29.1%,73.9,46.9%
11/27/21 04:17:47,86.9,29.0%,73.9,46.9%
11/27/21 04:18:04,86.9,28.9%,73.9,47.0%
11/27/21 04:18:19,86.9,28.9%,73.9,47.0%
11/27/21 04:18:34,86.9,28.9%,73.9,46.8%
11/27/21 04:18:49,86.7,28.9%,73.9,47.7%
11/27/21 04:19:04,86.7,28.9%,73.9,48.3%
11/27/21 04:19:19,86.7,29.0%,73.8,48.7%
11/27/21 04:19:34,86.5,29.0%,73.8,48.7%
11/27/21 04:19:50,86.5,29.1%,73.8,48.0%
11/27/21 04:20:06,86.5,29.1%,73.8,48.0%
11/27/21 04:20:20,86.5,29.1%,73.9,48.2%
11/27/21 04:20:36,86.5,29.2%,74.1,48.5%
11/27/21 04:20:58,86.5,29.2%,74.5,48.7%
11/27/21 04:21:13,86.5,29.4%,74.5,48.4%
11/27/21 04:21:28,86.4,29.4%,74.5,47.5%
11/27/21 04:21:44,86.4,29.3%,74.5,47.1%
11/27/21 04:21:59,86.4,29.2%,74.5,46.9%
11/27/21 04:22:14,86.4,29.2%,74.7,46.8%
11/27/21 04:22:25,86.4,29.2%,74.7,46.7%
11/27/21 04:22:36,86.4,29.2%,74.5,46.7%
11/27/21 04:22:52,86.4,29.2%,74.7,46.7%
11/27/21 04:23:03,86.4,29.2%,74.7,46.7%
11/27/21 04:23:14,86.4,29.2%,74.7,46.7%
11/27/21 04:23:28,86.4,29.2%,74.7,46.6%
11/27/21 04:23:39,86.4,29.2%,74.7,46.6%
11/27/21 04:23:50,86.4,29.2%,74.7,46.5%
11/27/21 04:24:01,86.4,29.2%,74.7,46.4%
11/27/21 04:24:12,86.4,29.2%,74.7,46.4%
11/27/21 04:24:26,86.4,29.2%,74.8,46.4%
11/27/21 04:24:37,86.4,29.2%,74.7,46.3%
11/27/21 04:24:48,86.4,29.2%,74.8,46.4%
11/27/21 04:24:59,86.4,29.2%,74.8,46.5%
11/27/21 04:25:10,86.4,29.2%,74.8,46.4%
11/27/21 04:25:21,86.4,29.2%,74.8,46.3%
11/27/21 04:25:35,86.4,29.2%,74.8,46.3%
11/27/21 04:25:46,86.4,29.2%,74.8,46.3%
11/27/21 04:25:57,86.4,29.2%,75.0,46.2%
11/27/21 04:26:08,86.4,29.2%,75.0,46.2%
11/27/21 04:26:19,86.4,29.2%,75.0,46.1%
11/27/21 04:26:30,86.4,29.2%,75.0,46.1%
11/27/21 04:26:41,86.4,29.2%,75.0,46.0%
11/27/21 04:26:55,86.4,29.2%,75.2,46.6%
11/27/21 04:27:06,86.4,29.2%,75.0,46.5%
11/27/21 04:27:22,86.4,29.2%,75.2,46.3%
11/27/21 04:27:33,86.4,29.2%,75.2,46.2%
11/27/21 04:27:44,86.4,29.2%,75.2,46.3%
11/27/21 04:27:58,86.4,29.3%,75.2,46.4%
11/27/21 04:28:09,86.4,29.3%,75.6,47.0%
11/27/21 04:28:24,86.4,29.4%,75.7,47.3%
11/27/21 04:28:39,86.4,29.4%,75.9,47.6%
11/27/21 04:28:54,86.4,29.4%,75.9,47.2%
11/27/21 04:29:09,86.4,29.4%,75.9,47.1%
11/27/21 04:29:27,86.4,29.4%,75.9,46.8%
11/27/21 04:29:42,86.4,29.4%,76.1,46.9%
11/27/21 04:29:58,86.4,29.5%,76.1,46.8%
11/27/21 04:30:13,86.4,29.5%,76.1,46.6%
11/27/21 04:30:29,86.4,29.5%,76.1,46.6%
11/27/21 04:30:44,86.5,29.5%,75.9,46.3%
11/27/21 04:30:59,86.5,29.5%,75.9,46.2%
11/27/21 04:31:14,86.5,29.5%,75.9,45.9%
11/27/21 04:31:29,86.4,29.4%,75.9,45.7%
11/27/21 04:31:44,86.5,29.4%,75.7,45.5%
11/27/21 04:32:07,86.5,29.4%,75.7,45.2%
11/27/21 04:32:23,86.5,29.4%,75.7,45.2%
11/27/21 04:32:38,86.5,29.3%,75.7,45.0%
11/27/21 04:32:53,86.5,29.3%,75.7,44.9%
11/27/21 04:33:08,86.7,29.3%,75.7,44.8%
11/27/21 04:33:23,86.7,29.2%,75.6,44.7%
11/27/21 04:33:38,86.7,29.2%,75.6,44.6%
11/27/21 04:33:53,86.7,29.1%,75.6,44.5%
11/27/21 04:34:13,86.7,29.0%,75.4,44.3%
11/27/21 04:34:27,86.9,29.0%,75.4,44.4%
11/27/21 04:34:38,86.7,28.9%,75.4,44.3%
11/27/21 04:34:49,86.7,28.9%,75.4,44.3%
11/27/21 04:35:00,86.7,28.8%,75.2,44.2%
11/27/21 04:35:11,86.7,28.8%,75.2,44.2%
11/27/21 04:35:22,86.9,28.8%,75.2,44.2%
11/27/21 04:35:33,86.9,28.8%,75.2,44.2%
11/27/21 04:35:44,86.9,28.7%,75.0,44.1%
11/27/21 04:35:58,86.9,28.6%,75.0,44.1%
11/27/21 04:36:09,86.9,28.6%,75.0,44.1%
11/27/21 04:36:20,86.9,28.6%,75.0,44.1%
11/27/21 04:36:31,86.9,28.5%,74.8,44.0%
11/27/21 04:36:42,86.9,28.5%,74.8,44.0%
11/27/21 04:36:53,86.9,28.5%,74.8,43.9%
11/27/21 04:37:04,86.9,28.4%,74.7,43.9%
11/27/21 04:37:15,86.9,28.4%,74.7,44.2%
11/27/21 04:37:26,86.9,28.4%,74.7,43.9%
11/27/21 04:37:37,86.9,28.3%,74.7,43.9%
11/27/21 04:37:48,86.9,28.3%,74.5,43.9%
11/27/21 04:38:03,86.9,28.3%,74.5,43.9%
11/27/21 04:38:21,86.9,28.2%,74.5,43.9%
11/27/21 04:38:36,86.9,28.2%,74.5,43.9%
11/27/21 04:38:51,86.9,28.1%,74.5,44.4%
11/27/21 04:39:06,86.9,28.1%,74.8,45.0%
11/27/21 04:39:17,86.9,28.1%,74.8,45.8%
11/27/21 04:39:28,86.9,28.2%,75.0,45.9%
11/27/21 04:39:39,86.9,28.3%,75.2,46.3%
11/27/21 04:39:50,86.9,28.4%,75.4,46.6%
11/27/21 04:40:01,86.9,28.5%,75.7,47.1%
11/27/21 04:40:16,86.9,28.6%,75.9,47.2%
11/27/21 04:40:33,86.9,28.8%,76.3,47.2%
11/27/21 04:40:48,86.9,28.8%,76.3,46.9%
11/27/21 04:41:03,86.9,28.8%,76.5,46.7%
11/27/21 04:41:18,86.9,28.8%,76.5,46.5%
11/27/21 04:41:33,86.9,28.8%,76.3,46.3%
11/27/21 04:41:48,86.9,28.9%,76.5,46.3%
11/27/21 04:42:04,86.9,28.9%,76.5,46.6%
11/27/21 04:42:19,87.1,29.0%,76.3,46.3%
11/27/21 04:42:34,87.1,29.0%,76.3,46.1%
11/27/21 04:42:49,87.1,29.0%,76.3,45.6%
11/27/21 04:43:04,87.1,29.0%,76.3,45.3%
11/27/21 04:43:19,87.1,28.9%,76.3,45.1%
11/27/21 04:43:34,87.1,28.9%,76.3,44.9%
11/27/21 04:43:54,87.1,28.9%,76.1,44.4%
11/27/21 04:44:09,87.1,28.8%,76.1,44.4%
11/27/21 04:44:27,87.1,28.8%,75.9,44.1%
11/27/21 04:44:44,87.1,28.7%,75.9,44.0%
11/27/21 04:44:59,87.1,28.7%,75.9,43.9%
11/27/21 04:45:15,87.3,28.7%,75.9,43.9%
11/27/21 04:45:30,87.3,28.6%,75.9,43.8%
11/27/21 04:45:46,87.3,28.6%,75.7,43.7%
11/27/21 04:46:01,87.3,28.5%,75.7,43.6%
11/27/21 04:46:16,87.3,28.5%,75.7,43.6%
11/27/21 04:46:31,87.3,28.4%,75.6,43.5%
11/27/21 04:46:46,87.3,28.4%,75.6,43.4%
11/27/21 04:47:01,87.3,28.3%,75.4,43.4%
11/27/21 04:47:12,87.3,28.3%,75.4,43.3%
11/27/21 04:47:26,87.4,28.3%,75.4,43.3%
11/27/21 04:47:37,87.4,28.2%,75.2,43.2%
11/27/21 04:47:48,87.4,28.2%,75.2,43.2%
11/27/21 04:47:59,87.4,28.2%,75.2,43.2%
11/27/21 04:48:10,87.4,28.1%,75.2,43.2%
11/27/21 04:48:21,87.4,28.1%,75.2,43.2%
11/27/21 04:48:32,87.4,28.0%,75.2,43.2%
11/27/21 04:48:43,87.4,28.0%,75.0,43.1%
11/27/21 04:48:54,87.4,28.0%,74.8,43.1%
11/27/21 04:49:05,87.4,28.0%,75.0,43.1%
11/27/21 04:49:16,87.4,27.9%,74.8,43.0%
11/27/21 04:49:27,87.4,27.9%,74.8,43.1%
11/27/21 04:49:38,87.4,27.9%,74.8,43.0%
11/27/21 04:49:50,87.4,27.8%,74.8,43.0%
11/27/21 04:50:01,87.4,27.8%,74.7,43.0%
11/27/21 04:50:12,87.4,27.8%,74.7,43.0%
11/27/21 04:50:23,87.4,27.8%,74.7,43.0%
11/27/21 04:50:34,87.4,27.8%,74.7,43.1%
11/27/21 04:50:45,87.4,27.7%,74.7,43.1%
11/27/21 04:50:56,87.4,27.7%,74.5,43.0%
11/27/21 04:51:11,87.4,27.7%,74.5,43.0%
11/27/21 04:51:26,87.3,27.6%,74.5,43.0%
11/27/21 04:51:41,87.4,27.6%,74.5,43.0%
11/27/21 04:51:57,87.3,27.5%,74.5,43.4%
11/27/21 04:52:14,87.3,27.5%,74.7,44.0%
11/27/21 04:52:25,87.3,27.6%,74.8,44.8%
11/27/21 04:52:36,87.3,27.6%,75.0,45.2%
11/27/21 04:52:47,87.3,27.7%,75.2,45.6%
11/27/21 04:52:58,87.3,27.8%,75.4,46.0%
11/27/21 04:53:09,87.3,27.9%,75.7,46.1%
11/27/21 04:53:24,87.3,28.0%,75.9,46.4%
11/27/21 04:53:39,87.3,28.2%,76.1,46.5%
